2026-03-24 15:30:13 | INFO | app.core.key_manager | Loaded 5 API keys into unified pool
2026-03-24 15:30:13 | INFO | __main__ | Starting History Backfill for 126 wards, last 1 days...
2026-03-24 15:30:13 | INFO | __main__ | History backfill: 0 API chunks across 126 wards
2026-03-24 15:30:13 | INFO | __main__ | Starting Weather History Backfill for 126 wards, last 1 days...
2026-03-24 15:30:47 | INFO | __main__ | Weather History Backfill: collected 126 records
2026-03-24 15:30:47 | INFO | __main__ | Bulk upserted 126 weather hourly records (history)
2026-03-24 15:30:47 | INFO | __main__ | Starting aggregation of hourly history to daily...
2026-03-24 15:30:47 | INFO | __main__ | Aggregated 3024 daily history records
2026-03-24 15:30:47 | INFO | __main__ | Starting aggregation for history data...
2026-03-24 15:30:48 | INFO | __main__ | Aggregated hourly: history - district: 9515, city: 335
2026-03-24 15:30:48 | INFO | __main__ | Aggregated daily: history - district: 960, city: 32
2026-03-24 15:30:48 | INFO | __main__ | Aggregation completed for history data
2026-03-24 15:30:48 | INFO | __main__ | Starting Nowcast job for 126 wards...
2026-03-24 15:30:48 | INFO | __main__ | Bulk upserted 126 weather hourly records (current)
2026-03-24 15:30:48 | INFO | __main__ | Starting aggregation for current data...
2026-03-24 15:30:49 | INFO | __main__ | Aggregated hourly: current - district: 9545, city: 336
2026-03-24 15:30:49 | INFO | __main__ | Aggregation completed for current data
2026-03-24 15:30:49 | INFO | __main__ | Starting Forecast job for 126 wards...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
2026-03-24 15:30:49 | WARNING | __main__ | All keys exhausted for 'onecall'. Waiting 15s before retry...
